city,country,country_clean,continent_name,median_salary,average_salary,rent_usd_proxy,utilities_usd_proxy,grocery_item_price_median,salary_pr,rent_pr,grocery_pr,utilities_pr,affordability_score,cluster_label
Chittaurgarh,India,India,Asia,327.97,384.43,104.395,49.13,1.23,0.073095189,0.043641544,0.208103131,0.127700535,47.76315557,High Cost–Low Salary
Coeur d'Alene,United States,United States,Northern America,6966,7925,1718.75,118.75,3.92,0.880446005,0.882413882,0.909965214,0.836684492,49.57922643,High Salary–Moderate Cost
Seaside,United States,United States,Northern America,6966,7925,950,85,3.205,0.880446005,0.662911163,0.807550645,0.504171123,58.77765265,High Salary–High Cost
Coronel,Chile,Chile,South America,1890.4,2090.56,,53.76,1.25,0.398306835,,0.217208922,0.163743316,,
Rouen,France,France,Europe,3769.56,4377.38,930.185,90.18,2.045,0.630807351,0.653716654,0.506650297,0.572834225,52.20027414,Low Salary–Low Cost
Dharan,Nepal,Nepal,Asia,551.13,608.2,49.98,26.91,0.72,0.122651249,0.002331002,0.025475752,0.022994652,55.4497991,High Cost–Low Salary
West Jordan,United States,United States,Northern America,6966,7925,,100,4.41,0.880446005,,0.959075097,0.681604278,,
Swabi,Pakistan,Pakistan,Asia,245.34,284.9,100.585,20.12,0.515,0.026429899,0.03975654,0.003376304,0.008770053,50.21620509,High Cost–Low Salary
Khon Kaen,Thailand,Thailand,Asia,2432.28,2662.11,240,62.65,1.69,0.444972125,0.200984201,0.418047882,0.23540107,57.68603822,High Cost–Low Salary
Phatthaya,Thailand,Thailand,Asia,2432.28,2662.11,316.805,144,1.86,0.444972125,0.272727273,0.464088398,0.936042781,51.46844256,Low Salary–Low Cost
Toliara,Madagascar,Madagascar,Africa,250.87,290.48,,,,0.034586,,,,,
Durres,Albania,Albania,Europe,832.84,956.92,266.43,85.6,1.365,0.175924014,0.223776224,0.275219971,0.513368984,45.13055076,High Cost–Low Salary
Nasushiobara,Japan,Japan,Asia,3158.67,3453.12,,74.45,2.98,0.501342143,,0.751790464,0.36855615,,
Ariana,Tunisia,Tunisia,Africa,1088.33,1239.75,199.595,73.83,0.735,0.237559364,0.157213157,0.027521997,0.362780749,55.58329559,High Cost–Low Salary
North Charleston,United States,United States,Northern America,6966,7925,1495.5,82,2.77,0.880446005,0.835534836,0.70943319,0.464171123,56.62440992,High Salary–High Cost
Carlsbad,United States,United States,Northern America,6966,7925,1543.75,102.5,3.955,0.880446005,0.846671847,0.912318396,0.707914439,51.06956395,High Salary–High Cost
Koblenz,Germany,Germany,Europe,3731.5,4048.63,1106.43,108.89,2.115,0.603964485,0.721574722,0.537548598,0.772299465,47.54638691,Low Salary–Low Cost
